id,document,label
0,평점 잘 안주는데 만점 줄려고 왔다 ,1
1,영화관이 필요한 이유 ,1
2,중국 애들은 불쌍타 나라 잘못 만나서 이런 영화를 극장에서 못보다니 ㅋㅋ ,1
3,감동의눈물 나올정도입니다. 평점10점급임.  내가 전투기 탄 기분이였음 ,1
4,탑건1(1986년)의 36년만의 나온 속편. 매우 만족 스러웠고 매우 재밌었다 무조건 특별관에서 봐야되는 영화 2022년 개봉작 영화중에서 범죄도시2 이후 2번째로 엄청 좋았던 영화 톰 크루즈 미모는 여전히 잘생겼다...,1
5,"이 시대의 마지막 액션스타, ""톰 크루즈"" ",1
6,다른 말이 필요한가 레.전.드 ,1
7,개쩐다 말이 필요없음 직접확인 ,1
8,감동까지 겸비한 최고의 블록버스터 ,1
9,지린다... 지려 할말이 없게 만듬.. ,1
10,영화관에서 탑건 보고 집에 가려고 차 핸들 잡는데 F-18 탄것도 아니면서 쓸데없이 비장해짐 ,1
11,돌아가신 아버지가 탑건1을 좋아하셨는데 살아계시다면 꼭 함께 아이맥스관에서 관람하고 싶었어요 아버지와 함께 보는 기분으로 봤어요 ,1
12,영화 보고 이렇게 기분 좋게 나왔던거 너무 오랜만인것같다 ㅋㅋㅋ ,1
13,"CG시대에 실제 항공기 비행촬영을 한, OTT시대에도 왜 영화관이어야 하는지 새삼 알려준, 헐리우드 영화 황금기 그 시절 극장에서 박수치고 가슴뛰며 보던 그 흥분을 다시 느끼게 해준 영화! 오프닝 탑건 ANTHEM과...",1
14,"범죄도시2 재미있죠. 그런데 말입니다, 이거 한번 보고 오시죠.비행기 액션 영화인데 가슴이 웅장해지고 눈물 나올뻔함. 아니 진심 울컥했다니까요. 주변에서 눈물 삼키는 소리인지, 에어컨 때문에 추워서 코 훌쩍이는건진 ...",1
15,기체 틀때 파일럿의 몸도 제껴 지니 나까지 심장이  터질듯했다. 미친 명화  탄생  10점 밖에  못 줘서  미안하다.탐형님 만수무강하시길 ,1
16,마하10 별점10점!! ,1
17,매버릭은 낭만 그자체다 우리는 탐크루즈 시대의 살고있다 ,1
18,미친영화 진심 미친영화특히 마지막 15분은 진짜 영화의 대비를 장식하는 역대 최고의 전투기씬. 톰 크루즈 커리어에 영원히 남을 올해 최고의 대작영화는 진짜 이렇게 만들어야 한다최고의 대작!!3번 보고 또 볼 예정 ,1
19,3~40년을 건너뛰어 돌아온 것 만으로도 열광할 이유는 충분하다... 찬사를 보낸다. ,1
20,올해 본 영화 중에 가장 최고의 영화다... 기립박수 치고 싶은 심정 ,1
